exposure,refid,relevance_score
Polycyclic Aromatic Hydrocarbons,33530,2
Polycyclic Aromatic Hydrocarbons,5750,2
Polycyclic Aromatic Hydrocarbons,6536,2
Polycyclic Aromatic Hydrocarbons,3920,2
Polycyclic Aromatic Hydrocarbons,11373,2
Polycyclic Aromatic Hydrocarbons,20967,2
Polycyclic Aromatic Hydrocarbons,31659,2
Polycyclic Aromatic Hydrocarbons,33495,2
Polycyclic Aromatic Hydrocarbons,45491,2
Polycyclic Aromatic Hydrocarbons,46544,2
Polycyclic Aromatic Hydrocarbons,47451,2
Polycyclic Aromatic Hydrocarbons,15191,2
Polycyclic Aromatic Hydrocarbons,9365,2
Polycyclic Aromatic Hydrocarbons,17470,2
Polycyclic Aromatic Hydrocarbons,23371,2
Polycyclic Aromatic Hydrocarbons,25049,2
Polycyclic Aromatic Hydrocarbons,25093,2
Polycyclic Aromatic Hydrocarbons,26757,2
Polycyclic Aromatic Hydrocarbons,27686,2
Polycyclic Aromatic Hydrocarbons,30245,2
Polycyclic Aromatic Hydrocarbons,44098,2
Polycyclic Aromatic Hydrocarbons,35269,2
Polycyclic Aromatic Hydrocarbons,17548,2
Polycyclic Aromatic Hydrocarbons,21195,2
Polycyclic Aromatic Hydrocarbons,24716,2
Polycyclic Aromatic Hydrocarbons,2645,2
Polycyclic Aromatic Hydrocarbons,13907,2
Polycyclic Aromatic Hydrocarbons,42931,2
Polycyclic Aromatic Hydrocarbons,20341,2
Polycyclic Aromatic Hydrocarbons,30973,2
Polycyclic Aromatic Hydrocarbons,15857,2
Polycyclic Aromatic Hydrocarbons,22064,2
Solvents,42544,15
Solvents,6776,7
Solvents,48084,7
Solvents,33435,7
Solvents,16030,7
Solvents,33093,10
Solvents,34750,27
Solvents,7048,7
Solvents,14211,5
Solvents,24103,5
Solvents,28944,5
Solvents,36517,5
Solvents,48419,5
Solvents,23133,5
Solvents,31097,5
Solvents,45337,5
Solvents,9987,5
Solvents,10535,5
Solvents,23853,5
Solvents,28074,5
Solvents,29478,5
Solvents,37941,5
Solvents,32303,10
Solvents,11403,5
Solvents,23723,5
Solvents,14844,5
Solvents,16646,5
Solvents,25685,10
Solvents,34118,5
Solvents,48367,5
Solvents,42480,5
Solvents,12457,2
Solvents,16416,2
Solvents,35649,5
Solvents,37431,2
Solvents,4063,2
Solvents,36240,7
Solvents,24717,5
Solvents,3920,2
Solvents,15014,15
Solvents,42872,10
Solvents,27141,5
Solvents,3389,2
Solvents,18721,2
Solvents,22116,2
Solvents,17321,2
Solvents,18996,5
Solvents,10016,15
Solvents,1402,2
Solvents,20501,2
Solvents,34147,15
Solvents,30826,2
Solvents,10523,2
Solvents,27895,2
Solvents,20451,2
Solvents,25049,2
Solvents,7710,5
Solvents,36605,2
Solvents,6875,2
Solvents,18658,5
Solvents,665,2
Solvents,21639,2
Solvents,45954,2
Solvents,44889,5
Solvents,44948,2
Solvents,26659,2
Solvents,12102,2
Solvents,4571,2
Solvents,9486,2
Solvents,16213,5
Solvents,24957,2
Solvents,25239,2
Solvents,32387,2
Solvents,41240,2
Solvents,1206,2
Solvents,39987,2
Solvents,46104,2
Solvents,46509,2
Solvents,46745,2
Solvents,47027,7
Solvents,11373,2
Solvents,20967,2
Solvents,31659,2
Solvents,33495,2
Solvents,45491,2
Solvents,46544,2
Solvents,47451,2
Solvents,4484,2
Solvents,4646,2
Solvents,5221,2
Solvents,16111,2
Solvents,18137,2
Solvents,23561,2
Solvents,32204,2
Solvents,34032,2
Solvents,40501,2
Solvents,43542,2
Solvents,5062,2
Solvents,9663,2
Solvents,14781,2
Solvents,19759,2
Solvents,35269,2
Solvents,17548,2
Solvents,21195,2
Solvents,24716,2
Solvents,18704,2
Solvents,43396,2
Solvents,45008,2
Solvents,2819,2
Solvents,6615,2
Solvents,6870,2
Solvents,9891,2
Solvents,11666,2
Solvents,13086,2
Solvents,16422,2
Solvents,19099,2
Solvents,24649,2
Solvents,31458,2
Solvents,35274,2
Solvents,35385,2
Solvents,39594,2
Solvents,42443,2
Solvents,43197,2
Solvents,47110,2
Solvents,47869,2
Solvents,20341,2
Solvents,30973,2
Solvents,530,2
Solvents,2885,2
Solvents,4986,2
Solvents,8522,2
Solvents,11370,2
Solvents,18138,2
Solvents,31754,2
Solvents,35456,2
Solvents,38675,2
Solvents,40461,3
Solvents,41595,2
Solvents,42931,2
Solvents,8936,2
Solvents,18677,2
Solvents,36023,2
Solvents,40390,2
Solvents,14764,2
Solvents,25374,2
Air Pollution,31022,30
Air Pollution,23371,20
Air Pollution,31456,20
Air Pollution,21016,17
Air Pollution,46762,35
Air Pollution,22800,25
Air Pollution,41463,15
Air Pollution,11666,50
Air Pollution,25170,20
Air Pollution,30836,32
Air Pollution,10609,15
Air Pollution,10698,20
Air Pollution,15790,10
Air Pollution,20947,10
Air Pollution,1011,25
Air Pollution,19184,5
Air Pollution,45018,10
Air Pollution,13575,10
Air Pollution,20309,20
Air Pollution,27637,20
Air Pollution,46388,22
Air Pollution,9444,2
Air Pollution,47995,5
Air Pollution,28067,25
Air Pollution,39839,20
Air Pollution,41732,10
Air Pollution,44033,25
Air Pollution,36097,15
Air Pollution,9188,20
Air Pollution,24088,5
Air Pollution,2133,5
Air Pollution,42872,7
Air Pollution,13051,5
Air Pollution,20694,25
Air Pollution,29432,20
Air Pollution,43610,5
Air Pollution,1057,7
Air Pollution,32623,10
Air Pollution,41581,13
Air Pollution,193,15
Air Pollution,34731,15
Air Pollution,36055,25
Air Pollution,26576,5
Air Pollution,20060,10
Air Pollution,17724,15
Air Pollution,29521,12
Air Pollution,45267,7
Air Pollution,43970,10
Air Pollution,39157,15
Air Pollution,853,15
Air Pollution,10783,22
Air Pollution,10671,10
Air Pollution,7874,20
Air Pollution,29100,25
Air Pollution,20246,7
Air Pollution,42853,15
Air Pollution,22886,5
Air Pollution,40502,10
Air Pollution,18604,2
Air Pollution,18649,20
Air Pollution,26783,7
Air Pollution,29098,20
Air Pollution,48094,15
Air Pollution,26488,7
Air Pollution,24883,15
Air Pollution,36621,13
Air Pollution,39144,5
Air Pollution,20001,15
Air Pollution,46846,7
Air Pollution,5232,5
Air Pollution,4797,2
Air Pollution,19612,15
Air Pollution,18216,7
Air Pollution,48618,15
Air Pollution,6895,2
Air Pollution,17870,7
Air Pollution,18302,10
Air Pollution,10197,5
Air Pollution,45571,5
Air Pollution,18509,12
Air Pollution,23432,5
Air Pollution,29984,20
Air Pollution,29307,15
Air Pollution,3121,17
Air Pollution,36185,10
Air Pollution,25049,2
Air Pollution,26202,10
Air Pollution,7076,7
Air Pollution,18194,7
Air Pollution,21176,17
Air Pollution,9301,5
Air Pollution,8698,5
Air Pollution,29342,5
Air Pollution,27445,15
Air Pollution,9267,10
Air Pollution,1086,22
Air Pollution,14760,7
Air Pollution,17471,7
Air Pollution,6843,12
Air Pollution,21082,5
Air Pollution,45069,10
Air Pollution,7769,7
Air Pollution,17879,25
Air Pollution,21413,12
Air Pollution,35449,7
Air Pollution,27169,5
Air Pollution,41227,10
Air Pollution,6025,17
Air Pollution,5905,5
Air Pollution,17000,5
Air Pollution,44694,5
Air Pollution,19047,5
Air Pollution,12903,2
Air Pollution,26316,5
Air Pollution,7101,5
Air Pollution,47619,20
Air Pollution,31929,2
Air Pollution,5531,2
Air Pollution,40744,5
Air Pollution,41078,10
Air Pollution,27117,5
Air Pollution,8463,5
Air Pollution,4829,2
Air Pollution,48410,5
Air Pollution,24654,2
Air Pollution,40560,2
Air Pollution,12395,5
Air Pollution,43511,7
Air Pollution,18835,2
Air Pollution,10303,2
Air Pollution,37319,2
Air Pollution,32986,2
Air Pollution,1788,7
Air Pollution,45373,5
Air Pollution,22006,2
Air Pollution,35356,2
Air Pollution,4804,5
Air Pollution,4105,2
Air Pollution,46002,5
Air Pollution,4772,5
Air Pollution,39183,5
Air Pollution,3432,7
Air Pollution,16120,7
Air Pollution,17561,12
Air Pollution,21753,2
Air Pollution,13009,2
Air Pollution,32824,2
Air Pollution,20118,5
Air Pollution,8691,5
Air Pollution,44870,5
Air Pollution,10024,5
Air Pollution,11561,5
Air Pollution,19651,17
Air Pollution,19189,15
Air Pollution,2649,2
Air Pollution,16448,7
Air Pollution,30184,5
Air Pollution,5785,7
Air Pollution,37481,17
Air Pollution,47567,2
Air Pollution,35027,5
Air Pollution,2752,8
Air Pollution,24521,2
Air Pollution,47635,5
Air Pollution,41166,5
Air Pollution,22650,15
Air Pollution,47673,27
Air Pollution,14401,12
Air Pollution,37466,12
Air Pollution,30468,15
Air Pollution,28524,15
Air Pollution,12557,2
Air Pollution,32388,2
Air Pollution,34061,5
Air Pollution,44042,5
Air Pollution,37830,2
Air Pollution,17008,12
Air Pollution,2552,5
Air Pollution,36805,2
Air Pollution,42450,2
Air Pollution,40757,5
Air Pollution,37246,5
Air Pollution,8781,5
Air Pollution,16678,5
Air Pollution,2190,10
Air Pollution,4075,7
Air Pollution,7746,10
Air Pollution,8131,5
Air Pollution,10134,10
Air Pollution,16888,5
Air Pollution,18639,10
Air Pollution,26359,7
Air Pollution,32274,5
Air Pollution,33122,5
Air Pollution,38684,7
Air Pollution,45592,7
Air Pollution,1885,5
Air Pollution,6032,8
Air Pollution,19226,5
Air Pollution,37029,7
Air Pollution,43620,5
Air Pollution,13175,2
Air Pollution,20887,2
Air Pollution,31783,2
Air Pollution,29181,2
Air Pollution,25231,2
Air Pollution,47064,2
Air Pollution,2409,2
Air Pollution,47054,10
Air Pollution,28164,15
Air Pollution,22301,2
Air Pollution,27100,2
Air Pollution,38538,2
Air Pollution,17793,2
Air Pollution,14718,5
Air Pollution,39254,5
Air Pollution,42422,5
Air Pollution,43387,5
Air Pollution,5305,5
Air Pollution,18806,2
Air Pollution,4916,17
Air Pollution,17521,2
Air Pollution,1189,5
Air Pollution,2941,7
Air Pollution,3165,8
Air Pollution,3410,7
Air Pollution,3839,5
Air Pollution,6215,5
Air Pollution,6707,5
Air Pollution,8935,10
Air Pollution,11535,7
Air Pollution,16044,5
Air Pollution,19346,10
Air Pollution,19617,5
Air Pollution,24268,10
Air Pollution,24742,5
Air Pollution,34127,10
Air Pollution,35886,5
Air Pollution,44996,5
Air Pollution,48087,7
Air Pollution,26915,5
Air Pollution,29807,5
Air Pollution,15057,2
Air Pollution,10319,10
Air Pollution,21799,10
Air Pollution,36767,10
Air Pollution,48105,10
Air Pollution,3000,2
Air Pollution,4082,2
Air Pollution,6074,2
Air Pollution,11074,2
Air Pollution,11415,2
Air Pollution,16237,2
Air Pollution,17513,2
Air Pollution,19499,2
Air Pollution,33860,2
Air Pollution,37450,2
Air Pollution,43082,2
Air Pollution,45007,2
Air Pollution,47811,5
Air Pollution,48270,2
Air Pollution,28250,2
Air Pollution,8799,2
Air Pollution,15995,2
Air Pollution,30788,2
Air Pollution,40357,2
Air Pollution,40717,2
Air Pollution,8581,5
Air Pollution,17903,5
Air Pollution,45981,5
Air Pollution,23535,2
Air Pollution,36287,5
Air Pollution,18155,2
Air Pollution,18596,2
Air Pollution,20231,2
Air Pollution,22724,2
Air Pollution,24065,2
Air Pollution,30679,12
Air Pollution,36365,2
Air Pollution,37179,2
Air Pollution,21210,5
Air Pollution,252,2
Air Pollution,2549,2
Air Pollution,46845,5
Air Pollution,22946,32
Air Pollution,33946,7
Air Pollution,3023,5
Air Pollution,255,5
Air Pollution,3956,10
Air Pollution,3983,7
Air Pollution,7103,5
Air Pollution,13800,5
Air Pollution,18004,5
Air Pollution,19655,7
Air Pollution,21110,5
Air Pollution,21710,5
Air Pollution,24337,10
Air Pollution,40179,7
Air Pollution,42849,5
Air Pollution,43576,5
Air Pollution,45768,7
Air Pollution,26654,10
Air Pollution,19303,7
Air Pollution,8434,2
Air Pollution,17462,2
Air Pollution,38908,2
Air Pollution,27978,2
Air Pollution,36977,10
Air Pollution,8356,5
Air Pollution,10258,2
Air Pollution,32333,2
Air Pollution,38369,2
Air Pollution,43223,2
Air Pollution,29632,2
Air Pollution,42156,2
Air Pollution,31976,5
Air Pollution,28146,5
Air Pollution,4234,5
Air Pollution,12373,7
Air Pollution,25238,7
Air Pollution,33581,7
Air Pollution,29537,5
Air Pollution,7722,2
Air Pollution,20344,2
Air Pollution,31926,5
Air Pollution,27582,2
Air Pollution,31463,7
Air Pollution,27813,2
Air Pollution,6712,2
Air Pollution,6113,2
Air Pollution,25484,2
Air Pollution,2958,5
Air Pollution,4979,2
Air Pollution,41125,5
Air Pollution,42003,15
Air Pollution,8211,5
Air Pollution,23624,2
Air Pollution,44137,2
Air Pollution,26035,5
Air Pollution,38876,2
Air Pollution,45813,2
Air Pollution,6166,5
Air Pollution,23796,5
Air Pollution,46570,20
Air Pollution,2679,2
Air Pollution,22324,2
Air Pollution,20826,10
Air Pollution,48276,2
Air Pollution,20156,2
Air Pollution,14099,2
Air Pollution,30135,2
Air Pollution,1579,2
Air Pollution,35101,2
Air Pollution,40415,5
Air Pollution,30501,15
Air Pollution,20196,2
Air Pollution,15389,2
Air Pollution,42150,2
Air Pollution,23123,2
Air Pollution,29885,2
Air Pollution,22146,5
Air Pollution,31843,7
Air Pollution,48622,2
Air Pollution,40131,5
Air Pollution,1049,5
Air Pollution,30159,2
Air Pollution,35361,2
Air Pollution,16080,2
Air Pollution,19689,2
Air Pollution,42374,5
Air Pollution,14764,2
Air Pollution,7937,2
Air Pollution,35414,2
Air Pollution,37853,2
Air Pollution,41712,2
Air Pollution,31092,2
Air Pollution,39923,2
Air Pollution,747,2
Air Pollution,3720,10
Air Pollution,4645,2
Air Pollution,44136,5
Air Pollution,29478,2
Air Pollution,8359,2
Air Pollution,23389,5
Air Pollution,31017,5
Air Pollution,34465,2
Air Pollution,15996,2
Air Pollution,26301,7
Air Pollution,47428,2
Air Pollution,31702,5
Air Pollution,47135,2
Air Pollution,29030,3
Air Pollution,9486,2
Air Pollution,12232,2
Air Pollution,13704,2
Air Pollution,35879,2
Air Pollution,21183,5
Air Pollution,820,7
Air Pollution,45470,2
Air Pollution,12768,7
Air Pollution,13881,2
Air Pollution,852,2
Air Pollution,24939,2
Air Pollution,43154,5
Air Pollution,17036,2
Air Pollution,6262,2
Air Pollution,19646,2
Air Pollution,34239,2
Air Pollution,23924,2
Air Pollution,6964,2
Air Pollution,26484,7
Air Pollution,21760,7
Allergens,1796,20
Allergens,41246,20
Allergens,4613,15
Allergens,1788,12
Allergens,33274,10
Allergens,38589,10
Allergens,6137,20
Allergens,11552,35
Allergens,25061,7
Allergens,33464,7
Allergens,45034,10
Allergens,47899,10
Allergens,3603,7
Allergens,13984,7
Allergens,14218,7
Allergens,15069,10
Allergens,22694,7
Allergens,36621,8
Allergens,45061,12
Allergens,46846,7
Allergens,44099,15
Allergens,21056,15
Allergens,41021,7
Allergens,43936,20
Allergens,14237,10
Allergens,19226,5
Allergens,45848,35
Allergens,22946,5
Allergens,17474,5
Allergens,20642,5
Allergens,80,15
Allergens,132,2
Allergens,144,5
Allergens,290,2
Allergens,438,2
Allergens,460,2
Allergens,699,2
Allergens,719,20
Allergens,794,2
Allergens,814,2
Allergens,852,2
Allergens,907,2
Allergens,924,5
Allergens,925,5
Allergens,963,2
Allergens,1113,2
Allergens,1156,2
Allergens,1186,2
Allergens,1321,15
Allergens,1456,10
Allergens,1517,2
Allergens,1632,2
Allergens,1658,2
Allergens,1697,2
Allergens,1771,35
Allergens,1803,2
Allergens,1818,10
Allergens,1885,2
Allergens,2050,2
Allergens,2093,5
Allergens,2236,20
Allergens,2411,5
Allergens,2426,5
Allergens,2900,15
Allergens,3144,2
Allergens,3146,2
Allergens,3253,5
Allergens,3918,20
Allergens,3927,5
Allergens,4392,5
Allergens,4471,5
Allergens,4498,15
Allergens,4515,5
Allergens,4624,2
Allergens,4672,2
Allergens,4693,5
Allergens,4709,5
Allergens,4757,2
Allergens,4781,2
Allergens,4797,35
Allergens,4882,5
Allergens,5012,2
Allergens,5036,2
Allergens,5057,2
Allergens,5110,2
Allergens,5208,2
Allergens,5438,2
Allergens,5511,5
Allergens,5713,5
Allergens,5739,2
Allergens,5835,2
Allergens,5844,2
Allergens,5851,5
Allergens,5855,7
Allergens,5878,5
Allergens,5882,15
Allergens,6004,2
Allergens,6029,2
Allergens,6078,5
Allergens,6271,5
Allergens,6289,5
Allergens,6401,2
Allergens,6446,35
Allergens,6646,2
Allergens,6705,5
Allergens,6841,2
Allergens,6843,5
Allergens,6865,15
Allergens,6921,15
Allergens,6953,2
Allergens,6974,5
Allergens,6993,5
Allergens,7170,25
Allergens,7253,2
Allergens,7554,2
Allergens,7584,2
Allergens,7619,5
Allergens,7639,5
Allergens,7679,5
Allergens,7710,2
Allergens,7727,2
Allergens,7733,2
Allergens,7893,2
Allergens,7970,2
Allergens,7979,2
Allergens,7988,2
Allergens,8201,5
Allergens,8213,5
Allergens,8253,7
Allergens,8384,2
Allergens,8423,5
Allergens,8439,5
Allergens,8493,5
Allergens,8553,5
Allergens,8700,2
Allergens,8794,10
Allergens,8889,2
Allergens,8970,2
Allergens,8987,2
Allergens,9129,2
Allergens,9175,10
Allergens,9207,5
Allergens,9349,2
Allergens,9391,5
Allergens,9515,2
Allergens,9543,2
Allergens,9615,2
Allergens,9742,5
Allergens,9872,2
Allergens,9964,2
Allergens,10092,5
Allergens,10125,2
Allergens,10171,5
Allergens,10206,2
Allergens,10294,2
Allergens,10295,5
Allergens,10309,2
Allergens,10552,2
Allergens,10706,2
Allergens,10717,35
Allergens,10877,2
Allergens,11043,2
Allergens,11109,2
Allergens,11164,2
Allergens,11263,2
Allergens,11284,2
Allergens,11754,2
Allergens,11925,2
Allergens,12037,20
Allergens,12038,20
Allergens,12065,2
Allergens,12067,5
Allergens,12122,2
Allergens,12123,5
Allergens,12183,5
Allergens,12223,2
Allergens,12361,2
Allergens,12384,25
Allergens,12421,2
Allergens,12434,2
Allergens,12462,2
Allergens,12475,2
Allergens,12548,5
Allergens,12643,2
Allergens,12791,2
Allergens,12950,2
Allergens,12963,2
Allergens,13249,5
Allergens,13314,2
Allergens,13472,15
Allergens,13613,2
Allergens,13654,2
Allergens,13666,5
Allergens,13750,2
Allergens,13834,2
Allergens,13854,5
Allergens,13884,3
Allergens,13886,20
Allergens,14005,2
Allergens,14236,2
Allergens,14326,5
Allergens,14365,2
Allergens,14409,10
Allergens,14432,2
Allergens,14447,2
Allergens,14605,2
Allergens,14614,5
Allergens,14652,2
Allergens,14665,2
Allergens,14782,2
Allergens,14789,2
Allergens,14850,2
Allergens,14864,5
Allergens,14961,2
Allergens,15020,5
Allergens,15057,2
Allergens,15135,2
Allergens,15160,2
Allergens,15248,2
Allergens,15399,2
Allergens,15411,35
Allergens,15503,2
Allergens,15554,2
Allergens,15756,2
Allergens,15841,2
Allergens,15888,35
Allergens,15982,2
Allergens,16326,25
Allergens,16812,2
Allergens,16843,5
Allergens,17009,2
Allergens,17044,5
Allergens,17170,2
Allergens,17385,20
Allergens,17577,2
Allergens,17631,10
Allergens,17675,2
Allergens,17678,5
Allergens,17730,2
Allergens,17761,5
Allergens,17776,2
Allergens,17916,12
Allergens,17960,2
Allergens,17979,30
Allergens,18041,5
Allergens,18073,5
Allergens,18097,2
Allergens,18219,2
Allergens,18325,7
Allergens,18360,2
Allergens,18544,5
Allergens,18634,3
Allergens,18647,2
Allergens,18715,2
Allergens,18776,3
Allergens,18793,5
Allergens,18821,2
Allergens,18884,12
Allergens,18978,5
Allergens,19053,2
Allergens,19184,5
Allergens,19277,2
Allergens,19498,2
Allergens,19577,2
Allergens,19641,7
Allergens,19717,2
Allergens,19755,2
Allergens,19764,2
Allergens,19774,2
Allergens,19828,7
Allergens,19874,2
Allergens,19891,2
Allergens,19972,10
Allergens,20296,5
Allergens,20329,2
Allergens,20415,2
Allergens,20962,2
Allergens,20999,5
Allergens,21016,5
Allergens,21255,5
Allergens,21628,5
Allergens,21753,2
Allergens,21885,20
Allergens,21916,2
Allergens,21976,2
Allergens,22162,2
Allergens,22341,5
Allergens,22496,5
Allergens,22545,2
Allergens,22612,22
Allergens,22644,2
Allergens,22683,5
Allergens,22731,2
Allergens,22818,5
Allergens,22895,2
Allergens,22948,3
Allergens,22968,2
Allergens,23270,2
Allergens,23333,5
Allergens,23370,2
Allergens,23409,5
Allergens,23720,5
Allergens,23930,2
Allergens,23992,25
Allergens,24009,5
Allergens,24226,2
Allergens,24238,2
Allergens,24313,2
Allergens,24753,2
Allergens,24816,2
Allergens,24841,5
Allergens,24923,2
Allergens,24948,2
Allergens,24979,5
Allergens,25003,2
Allergens,25024,2
Allergens,25182,2
Allergens,25223,5
Allergens,25421,5
Allergens,25424,2
Allergens,25518,5
Allergens,25669,5
Allergens,25874,2
Allergens,25888,17
Allergens,25923,2
Allergens,25952,15
Allergens,25964,5
Allergens,25977,2
Allergens,26149,5
Allergens,26201,20
Allergens,26337,2
Allergens,26343,3
Allergens,30586,2
Allergens,30593,5
Allergens,30685,2
Allergens,30711,2
Allergens,30726,50
Allergens,31006,5
Allergens,31026,2
Allergens,31030,2
Allergens,31115,10
Allergens,31128,2
Allergens,31135,5
Allergens,31168,2
Allergens,31521,2
Allergens,31625,2
Allergens,31774,2
Allergens,31778,5
Allergens,31918,2
Allergens,32078,20
Allergens,32226,2
Allergens,32249,5
Allergens,32433,2
Allergens,32566,10
Allergens,32646,2
Allergens,32648,2
Allergens,32651,7
Allergens,32672,22
Allergens,32693,2
Allergens,32733,37
Allergens,32781,2
Allergens,32970,2
Allergens,33014,5
Allergens,33027,7
Allergens,33312,45
Allergens,33349,15
Allergens,33358,5
Allergens,33437,20
Allergens,33461,5
Allergens,33522,2
Allergens,33538,22
Allergens,33562,2
Allergens,33651,5
Allergens,33720,2
Allergens,33730,2
Allergens,33776,2
Allergens,33838,5
Allergens,34016,5
Allergens,34067,2
Allergens,34083,2
Allergens,34265,2
Allergens,34289,20
Allergens,34294,2
Allergens,34451,2
Allergens,34468,30
Allergens,34484,2
Allergens,34549,20
Allergens,34567,2
Allergens,34627,2
Allergens,34774,2
Allergens,34795,10
Allergens,34804,5
Allergens,34839,2
Allergens,34846,5
Allergens,34857,2
Allergens,34904,7
Allergens,34942,2
Allergens,35104,7
Allergens,35111,2
Allergens,35115,2
Allergens,35162,2
Allergens,35290,5
Allergens,35380,2
Allergens,35534,5
Allergens,35547,5
Allergens,35573,2
Allergens,35597,2
Allergens,35614,2
Allergens,35709,2
Allergens,35799,2
Allergens,36076,2
Allergens,36154,2
Allergens,36213,35
Allergens,36327,2
Allergens,36397,2
Allergens,36414,2
Allergens,36487,2
Allergens,36515,5
Allergens,36572,2
Allergens,36650,2
Allergens,36661,2
Allergens,36854,5
Allergens,36951,2
Allergens,36958,2
Allergens,37011,2
Allergens,37012,5
Allergens,37038,2
Allergens,37077,33
Allergens,37213,5
Allergens,37251,5
Allergens,37255,2
Allergens,37314,2
Allergens,37356,2
Allergens,37403,2
Allergens,37492,2
Allergens,37495,2
Allergens,37582,5
Allergens,37622,2
Allergens,37690,35
Allergens,37804,3
Allergens,37822,2
Allergens,37887,2
Allergens,38036,2
Allergens,38238,5
Allergens,38279,12
Allergens,38507,25
Allergens,38639,2
Allergens,38744,5
Allergens,38792,2
Allergens,38818,7
Allergens,38865,2
Allergens,39028,2
Allergens,39034,7
Allergens,39195,5
Allergens,39198,5
Allergens,39623,5
Allergens,39678,5
Allergens,39752,2
Allergens,39801,2
Allergens,39825,5
Allergens,39859,2
Allergens,39874,12
Allergens,39921,2
Allergens,39977,5
Allergens,39996,2
Allergens,40032,5
Allergens,40142,5
Allergens,40430,2
Allergens,40509,2
Allergens,40559,2
Allergens,40563,2
Allergens,40568,2
Allergens,40582,5
Allergens,40637,2
Allergens,40659,2
Allergens,40725,7
Allergens,40902,2
Allergens,40920,2
Allergens,41071,2
Allergens,41099,2
Allergens,41110,5
Allergens,41137,2
Allergens,41155,2
Allergens,41488,5
Allergens,41561,2
Allergens,41577,25
Allergens,41689,2
Allergens,41695,5
Allergens,41824,5
Allergens,41909,5
Allergens,42099,5
Allergens,42136,10
Allergens,42152,2
Allergens,42346,2
Allergens,42356,2
Allergens,42363,30
Allergens,42377,5
Allergens,42420,2
Allergens,42683,12
Allergens,42838,2
Allergens,42938,7
Allergens,43100,2
Allergens,43163,2
Allergens,43167,5
Allergens,43173,5
Allergens,43255,2
Allergens,43336,2
Allergens,43449,22
Allergens,43626,25
Allergens,43637,7
Allergens,43734,2
Allergens,43820,2
Allergens,43882,2
Allergens,44019,2
Allergens,44239,2
Allergens,44240,5
Allergens,44245,2
Allergens,44334,17
Allergens,44679,20
Allergens,44744,5
Allergens,44752,2
Allergens,44866,5
Allergens,45074,20
Allergens,45170,2
Allergens,45183,2
Allergens,45301,2
Allergens,45398,2
Allergens,45604,12
Allergens,45916,2
Allergens,46029,15
Allergens,46034,2
Allergens,46175,5
Allergens,46190,2
Allergens,46226,2
Allergens,46354,2
Allergens,46376,2
Allergens,46397,17
Allergens,46496,2
Allergens,46536,2
Allergens,46612,5
Allergens,46733,2
Allergens,46778,40
Allergens,46863,5
Allergens,47175,5
Allergens,47182,2
Allergens,47186,5
Allergens,47309,2
Allergens,47359,10
Allergens,47425,2
Allergens,47428,5
Allergens,47446,20
Allergens,47553,3
Allergens,47577,2
Allergens,47582,2
Allergens,47748,5
Allergens,47749,2
Allergens,47761,10
Allergens,47832,2
Allergens,47935,5
Allergens,47948,2
Allergens,47989,2
Allergens,48136,2
Allergens,48150,2
Allergens,48197,2
Allergens,48301,5
Allergens,48331,2
Allergens,48382,2
Allergens,48477,5
Allergens,48484,2
Allergens,48535,5
Allergens,48592,2
Allergens,48604,5
Allergens,26400,2
Allergens,26450,15
Allergens,26479,2
Allergens,26694,2
Allergens,26722,2
Allergens,26885,2
Allergens,26973,5
Allergens,26997,5
Allergens,27016,5
Allergens,27062,5
Allergens,27169,2
Allergens,27173,2
Allergens,27186,5
Allergens,27226,2
Allergens,27435,2
Allergens,27438,5
Allergens,27534,2
Allergens,27602,2
Allergens,27607,35
Allergens,27655,35
Allergens,27662,2
Allergens,27716,2
Allergens,27751,2
Allergens,27806,2
Allergens,27858,5
Allergens,27916,2
Allergens,27951,5
Allergens,28112,5
Allergens,28220,5
Allergens,28290,2
Allergens,28306,2
Allergens,28493,3
Allergens,28555,2
Allergens,28598,2
Allergens,28621,5
Allergens,28624,30
Allergens,28749,2
Allergens,28865,2
Allergens,28886,2
Allergens,28987,25
Allergens,29020,2
Allergens,29086,17
Allergens,29159,2
Allergens,29183,5
Allergens,29185,5
Allergens,29351,2
Allergens,29405,5
Allergens,29490,5
Allergens,29539,25
Allergens,29585,5
Allergens,29645,5
Allergens,29714,5
Allergens,29741,2
Allergens,29847,2
Allergens,29908,2
Allergens,30090,2
Allergens,30168,20
Allergens,30172,5
Diet and Nutrition,698,30
Diet and Nutrition,20287,22
Diet and Nutrition,18809,32
Diet and Nutrition,19104,25
Diet and Nutrition,27455,40
Diet and Nutrition,16310,20
Diet and Nutrition,35742,35
Diet and Nutrition,42550,20
Diet and Nutrition,34831,15
Diet and Nutrition,15529,25
Diet and Nutrition,45716,40
Diet and Nutrition,3780,20
Diet and Nutrition,40357,22
Diet and Nutrition,46888,47
Diet and Nutrition,11048,10
Diet and Nutrition,2742,15
Diet and Nutrition,30401,20
Diet and Nutrition,27178,25
Diet and Nutrition,41840,12
Diet and Nutrition,11709,30
Diet and Nutrition,26820,40
Diet and Nutrition,43490,15
Diet and Nutrition,30368,20
Diet and Nutrition,30711,20
Diet and Nutrition,55,12
Diet and Nutrition,42312,22
Diet and Nutrition,44959,20
Diet and Nutrition,2808,40
Diet and Nutrition,2448,7
Diet and Nutrition,25045,15
Diet and Nutrition,21831,17
Diet and Nutrition,18839,15
Diet and Nutrition,2835,20
Diet and Nutrition,5379,15
